IT数据字段收集，及实际数据情况,,,
字段,格式,备注,实际
receiving_days,mediumint(9) DEFAULT NULL,收款天数 (租赁相关),
bill_adv_days,mediumint(9) DEFAULT NULL,提前出账天数 (租赁相关),
late_fee_ratio,"decimal(3,2) DEFAULT '0.00'",滞纳金比例 (租赁相关),
late_fee_delay_days,mediumint(3) DEFAULT '0',滞纳金延迟天数 (租赁相关),
lockup_date,date DEFAULT NULL,锁定日期 (租赁相关，例如租期锁定),均为空
expected_dep_date,datetime DEFAULT NULL,预计离店日期,
make_ready_date,datetime DEFAULT NULL,准备完成日期,
is_owner,char(2) DEFAULT 'F',"是否业主房 (T=是, F=否)",均为空
owner_supper,char(2) DEFAULT 'F',"业主自用/特权 (T=是, F=否)",均为空
owner_id,bigint(16) DEFAULT '0',业主ID,均为0
ppe_id,bigint(16) DEFAULT '0',可能指“预付实体ID”或某种特定项目ID,均为0
lease_start_date,datetime DEFAULT NULL,起租日期,部分早期数据缺失
lease_end_date,datetime DEFAULT NULL,退租日期,部分早期数据缺失
create_user,varchar(20) NOT NULL,创建用户,
create_datetime,datetime NOT NULL,创建时间,
modify_user,varchar(20) NOT NULL,修改用户,
modify_datetime,datetime NOT NULL,修改时间,
sta_ebooking,char(1) DEFAULT NULL,网上预订状态,均为空
credit_money,"decimal(8,2) DEFAULT NULL",担保金额,均为空
is_own_card,char(2) DEFAULT 'F',"是否本人信用卡 (T=是, F=否)",均为F
