房号,楼栋,楼层,房型,户型代码,面积(平方米),朝向,12个月租金,6-11个月租金,2-5个月租金,1个月租金
A1520,A,15F,行政单间,S-35-A,51,西,14750,15930,16520,18438
A1521,A,15F,行政单间,S-35-A,51,西,12421,13415,13911,15526
A1522,A,15F,两房行政公寓,S-74,108,西 南,30068,32474,33676,37585
A1523,A,15F,一房豪华式公寓,S-50,73,南,20250,21870,22680,25312
A1601,A,16F,行政单间,S-35-A,51,南,13137,14188,14714,16421
A1602,A,16F,一房豪华式公寓,S-60-A,88,东 南,22600,24408,25312,28250
A1603,A,16F,行政单间,S-35-A,51,东,12471,13469,13967,15589
A1605,A,16F,行政单间,S-35-A,51,东,12471,13469,13967,15589
A1606,A,16F,行政单间,S-35-A,51,东,12471,13469,13967,15589
A1607,A,16F,行政单间,S-35-A,51,东,12471,13469,13967,15589
A1608,A,16F,行政单间,S-35-A,51,东,12471,13469,13967,15589
A1609,A,16F,行政单间,S-35-A,51,东,12471,13469,13967,15589
A1610,A,16F,行政单间,S-37-A,54,东,14513,15674,16254,18141
A1611,A,16F,一房豪华式公寓,S-48,70,东 北,18600,20088,20832,23250
A1612,A,16F,行政单间,S-37-A,54,北,15334,16561,17174,19168
A1613,A,16F,行政单间,S-39-A,57,北,15655,16908,17534,19569
A1615,A,16F,豪华行政单间,S-46,67,西 北,18893,20405,21160,23617
A1616,A,16F,行政单间,S-35-A,51,西,12471,13469,13967,15589
A1617,A,16F,行政单间,S-35-A,51,西,12471,13469,13967,15589
A1618,A,16F,行政单间,S-35-A,51,西,12471,13469,13967,15589
A1619,A,16F,行政单间,S-35-A,51,西,14120,15250,15814,17650
A1620,A,16F,行政单间,S-35-A,51,西,14800,15984,16576,18500
A1621,A,16F,行政单间,S-35-A,51,西,12471,13469,13967,15589
A1622,A,16F,两房行政公寓,S-74,108,西 南,30118,32528,33732,37648
A1623,A,16F,一房豪华式公寓,S-50,73,南,20300,21924,22736,25375
A1701,A,17F,行政单间,S-35-A,51,南,13187,14242,14770,16484
A1702,A,17F,一房豪华式公寓,S-60-A,88,东 南,22700,24516,25424,28375
A1703,A,17F,行政单间,S-35-A,51,东,12521,13523,14023,15651
A1705,A,17F,行政单间,S-35-A,51,东,12521,13523,14023,15651
A1706,A,17F,行政单间,S-35-A,51,东,12521,13523,14023,15651
A1707,A,17F,行政单间,S-35-A,51,东,12521,13523,14023,15651
A1708,A,17F,行政单间,S-35-A,51,东,12521,13523,14023,15651
A1709,A,17F,行政单间,S-35-A,51,东,12521,13523,14023,15651
A1710,A,17F,行政单间,S-37-A,54,东,14563,15728,16310,18203
A1711,A,17F,一房豪华式公寓,S-48,70,东 北,18700,20196,20944,23375
A1712,A,17F,行政单间,S-37-A,54,北,15384,16615,17230,19230
A1713,A,17F,行政单间,S-39-A,57,北,15705,16962,17590,19632
A1715,A,17F,豪华行政单间,S-46,67,西 北,18943,20459,21216,23679
A1716,A,17F,行政单间,S-35-A,51,西,12521,13523,14023,15651
A1717,A,17F,行政单间,S-35-A,51,西,12521,13523,14023,15651
A1718,A,17F,行政单间,S-35-A,51,西,12521,13523,14023,15651
A1719,A,17F,行政单间,S-35-A,51,西,14140,15271,15837,17675
A1720,A,17F,行政单间,S-35-A,51,西,14850,16038,16632,18562
A1721,A,17F,行政单间,S-35-A,51,西,12521,13523,14023,15651
A1722,A,17F,两房行政公寓,S-74,108,西 南,30168,32582,33788,37710
A1723,A,17F,一房豪华式公寓,S-50,73,南,20350,21978,22792,25438
A1801,A,18F,行政单间,S-35-A,51,南,13237,14296,14826,16546
A1802,A,18F,一房豪华式公寓,S-60-A,88,东 南,22800,24624,25536,28500
A1803,A,18F,行政单间,S-35-A,51,东,12571,13577,14079,15714
A1805,A,18F,行政单间,S-35-A,51,东,12571,13577,14079,15714
A1806,A,18F,行政单间,S-35-A,51,东,12571,13577,14079,15714
A1807,A,18F,行政单间,S-35-A,51,东,12571,13577,14079,15714
A1808,A,18F,行政单间,S-35-A,51,东,12571,13577,14079,15714
A1809,A,18F,行政单间,S-35-A,51,东,12571,13577,14079,15714
A1810,A,18F,行政单间,S-37-A,54,东,14613,15782,16366,18266
A1811,A,18F,一房豪华式公寓,S-48,70,东 北,18800,20304,21056,23500
A1812,A,18F,行政单间,S-37-A,54,北,15434,16669,17286,19293
A1813,A,18F,行政单间,S-39-A,57,北,15755,17016,17646,19694
A1815,A,18F,豪华行政单间,S-46,67,西 北,18993,20513,21272,23742
A1816,A,18F,行政单间,S-35-A,51,西,12571,13577,14079,15714
A1817,A,18F,行政单间,S-35-A,51,西,12571,13577,14079,15714
A1818,A,18F,行政单间,S-35-A,51,西,12571,13577,14079,15714
A1819,A,18F,行政单间,S-35-A,51,西,14160,15293,15859,17700
A1820,A,18F,行政单间,S-35-A,51,西,14900,16092,16688,18625
A1821,A,18F,行政单间,S-35-A,51,西,12571,13577,14079,15714
A1822,A,18F,两房行政公寓,S-74,108,西 南,30218,32636,33844,37773
A1823,A,18F,一房豪华式公寓,S-50,73,南,20400,22032,22848,25500
A1901,A,19F,行政单间,S-35-A,51,南,13287,14350,14882,16609
A1902,A,19F,一房豪华式公寓,S-60-A,88,东 南,22900,24732,25648,28625
A1903,A,19F,行政单间,S-35-A,51,东,12621,13631,14135,15776
A1905,A,19F,行政单间,S-35-A,51,东,12621,13631,14135,15776
A1906,A,19F,行政单间,S-35-A,51,东,12621,13631,14135,15776
A1907,A,19F,行政单间,S-35-A,51,东,12621,13631,14135,15776
A1908,A,19F,行政单间,S-35-A,51,东,12621,13631,14135,15776
A1909,A,19F,行政单间,S-35-A,51,东,12621,13631,14135,15776
A1910,A,19F,行政单间,S-37-A,54,东,14663,15836,16422,18328
A1911,A,19F,一房豪华式公寓,S-48,70,东 北,18900,20412,21168,23625
A1912,A,19F,行政单间,S-37-A,54,北,15484,16723,17342,19355
A1913,A,19F,行政单间,S-39-A,57,北,15805,17070,17702,19757
A1915,A,19F,豪华行政单间,S-46,67,西 北,19043,20567,21328,23804
A1916,A,19F,行政单间,S-35-A,51,西,12621,13631,14135,15776
A1917,A,19F,行政单间,S-35-A,51,西,12621,13631,14135,15776
A1918,A,19F,行政单间,S-35-A,51,西,12621,13631,14135,15776
A1919,A,19F,行政单间,S-35-A,51,西,14180,15314,15882,17725
A1920,A,19F,行政单间,S-35-A,51,西,14950,16146,16744,18688
A1921,A,19F,行政单间,S-35-A,51,西,12621,13631,14135,15776
A1922,A,19F,两房行政公寓,S-74,108,西 南,30268,32690,33900,37835
A1923,A,19F,一房豪华式公寓,S-50,73,南,20450,22086,22904,25562
A2001,A,20F,行政单间,S-35-A,51,南,13337,14404,14938,16671
A2002,A,20F,一房豪华式公寓,S-60-A,88,东 南,23000,24840,25760,28750
A2003,A,20F,行政单间,S-35-A,51,东,12671,13685,14191,15839
A2005,A,20F,行政单间,S-35-A,51,东,12671,13685,14191,15839
A2006,A,20F,行政单间,S-35-A,51,东,12671,13685,14191,15839
A2007,A,20F,行政单间,S-35-A,51,东,12671,13685,14191,15839
A2008,A,20F,行政单间,S-35-A,51,东,12671,13685,14191,15839
A2009,A,20F,行政单间,S-35-A,51,东,12671,13685,14191,15839
A201,A,2F,行政单间,S-39-A,57,南,13872,14981,15536,17339
A2010,A,20F,行政单间,S-37-A,54,东,14713,15890,16478,18391
A2011,A,20F,一房豪华式公寓,S-48,70,东 北,19000,20520,21280,23750
A2012,A,20F,行政单间,S-37-A,54,北,15534,16777,17398,19418
A2013,A,20F,行政单间,S-39-A,57,北,15855,17124,17758,19819
A2015,A,20F,豪华行政单间,S-46,67,西 北,19093,20621,21384,23867
A2016,A,20F,行政单间,S-35-A,51,西,12671,13685,14191,15839
A2017,A,20F,行政单间,S-35-A,51,西,12671,13685,14191,15839
A2018,A,20F,行政单间,S-35-A,51,西,12671,13685,14191,15839
A2019,A,20F,行政单间,S-35-A,51,西,14200,15336,15904,17750
A202,A,2F,行政单间,S-39-A,57,南,15605,16853,17478,19506
A2020,A,20F,行政单间,S-35-A,51,西,15000,16200,16800,18750
A2021,A,20F,行政单间,S-35-A,51,西,12671,13685,14191,15839
A2022,A,20F,两房行政公寓,S-74,108,西 南,30318,32744,33956,37898
A2023,A,20F,一房豪华式公寓,S-50,73,南,20500,22140,22960,25625
A203,A,2F,行政单间,S-39-A,57,南,13872,14981,15536,17339
A205,A,2F,行政单间,S-47,69,东,13872,14981,15536,17339
A206,A,2F,行政单间,S-39-A,57,东,13872,14981,15536,17339
A207,A,2F,行政单间,S-39-A,57,东,13872,14981,15536,17339
A208,A,2F,行政单间,S-39-A,57,东,13872,14981,15536,17339
A209,A,2F,行政单间,S-39-A,57,东,13872,14981,15536,17339
A210,A,2F,行政单间,S-39-A,57,东,13872,14981,15536,17339
A2101,A,21F,行政单间,S-35-A,51,南,13387,14458,14994,16734
A2102,A,21F,一房豪华式公寓,S-60-A,51,东 南,23100,24948,25872,28875
A2103,A,21F,行政单间,S-35-A,51,东,12721,13739,14247,15901
A2105,A,21F,行政单间,S-35-A,51,东,12721,13739,14247,15901
A2106,A,21F,行政单间,S-35-A,51,东,12721,13739,14247,15901
A2107,A,21F,行政单间,S-35-A,51,东,12721,13739,14247,15901
A2108,A,21F,行政单间,S-35-A,51,东,12721,13739,14247,15901
A2109,A,21F,行政单间,S-35-A,51,东,12721,13739,14247,15901
A211,A,2F,行政单间,S-43,63,东,15700,16956,17584,19625
A2110,A,21F,行政单间,S-37-A,54,东,14763,15944,16534,18453
A2111,A,21F,一房豪华式公寓,S-48,72,东 北,19100,20628,21392,23875
A2112,A,21F,行政单间,S-37-A,79,北,15584,16831,17454,19480
A2113,A,21F,行政单间,S-39-A,57,北,15905,17178,17814,19882
A2115,A,21F,豪华行政单间,S-46,51,西 北,19143,20675,21440,23929
A2116,A,21F,行政单间,S-35-A,51,西,12721,13739,14247,15901
A2117,A,21F,行政单间,S-35-A,51,西,12721,13739,14247,15901
A2118,A,21F,行政单间,S-35-A,51,西,12721,13739,14247,15901
A2119,A,21F,行政单间,S-35-A,51,西,14220,15358,15926,17775
A212,A,2F,行政单间,S-43,63,西,15700,16956,17584,19625
A2120,A,21F,行政单间,S-35-A,51,西,15050,16254,16856,18812
A2121,A,21F,行政单间,S-35-A,51,西,12721,13739,14247,15901
A2122,A,21F,两房行政公寓,S-74,108,西 南,30368,32798,34012,37960
A2123,A,21F,一房豪华式公寓,S-50,73,南,20550,22194,23016,25688
A213,A,2F,行政单间,S-39-A,57,西,13872,14981,15536,17339
A215,A,2F,行政单间,S-39-A,57,西,13872,14981,15536,17339
A216,A,2F,行政单间,S-39-A,57,西,13872,14981,15536,17339
A217,A,2F,行政单间,S-39-A,57,西,13872,14981,15536,17339
A218,A,2F,行政单间,S-39-A,99,西,13872,14981,15536,17339
A219,A,2F,一房行政豪华式公寓,S-68,57,西,24093,26020,26984,30116
A220,A,2F,行政单间,S-39-A,88,北,14738,15918,16507,18423
A2201,A,22F,行政单间,S-35-A,51,南,13437,14512,15050,16796
A2202,A,22F,一房豪华式公寓,S-60-A,88,东 南,23200,25056,25984,29000
A2203,A,22F,行政单间,S-35-A,51,东,12771,13793,14303,15964
A2205,A,22F,行政单间,S-35-A,51,东,12771,13793,14303,15964
A2206,A,22F,行政单间,S-35-A,51,东,12771,13793,14303,15964
A2207,A,22F,行政单间,S-35-A,51,东,12771,13793,14303,15964
A2208,A,22F,行政单间,S-35-A,51,东,12771,13793,14303,15964
A2209,A,22F,行政单间,S-35-A,51,东,12771,13793,14303,15964
A2210,A,22F,行政单间,S-37-A,79,东,15634,16885,17510,19542
A2211,A,22F,行政单间,S-35-A,57,北,19200,20736,21504,24000
A2212,A,22F,行政单间,S-35-A,54,西 北,20075,21681,22484,25094
A2213,A,22F,行政单间,S-39-A,72,西,15634,16885,17478,19542
A2215,A,22F,行政单间,S-35-A,79,西,14813,15998,17478,18516
A2216,A,22F,行政单间,S-35-A,57,西,12771,13793,17478,15964
A2217,A,22F,行政单间,S-35-A,51,西,12771,13793,17478,15964
A2218,A,22F,行政单间,S-35-A,51,西,12771,13793,17478,15964
A2219,A,22F,两房行政公寓,S-74,108,西 南,30418,32852,34068,38023
A2220,A,22F,一房豪华式公寓,S-50,73,南,21000,22680,17478,26250
A2301,A,23F,行政单间,S-35-A,51,南,13487,14566,15106,16859
A2302,A,23F,一房豪华式公寓,S-60-A,88,东 南,23300,25164,26096,29125
A2303,A,23F,行政单间,S-35-A,51,东,12821,13847,14359,16026
A2305,A,23F,行政单间,S-35-A,51,东,12821,13847,14359,16026
A2306,A,23F,行政单间,S-35-A,51,东,12821,13847,14359,16026
A2307,A,23F,行政单间,S-35-A,51,东,12821,13847,14359,16026
A2308,A,23F,行政单间,S-35-A,51,东,12821,13847,14359,16026
A2309,A,23F,行政单间,S-35-A,51,东,12821,13847,14359,16026
A2312,A,23F,行政单间,S-37-A,54,西,14863,16052,16646,18578
A2313,A,23F,行政单间,S-35-A,51,西,14813,15998,16591,18516
A2315,A,23F,行政单间,S-35-A,51,西,14863,16052,16647,18579
A2316,A,23F,行政单间,S-35-A,51,西,12821,13847,14359,16026
A2317,A,23F,行政单间,S-35-A,51,西,12821,13847,14359,16026
A2318,A,23F,行政单间,S-35-A,51,西,12821,13847,14359,16026
A2319,A,23F,两房行政公寓,S-74,108,西 南,30468,32906,34124,38085
A2320,A,23F,一房豪华式公寓,S-50,73,南,21100,22788,23632,26375
A2501,A,25F,行政单间,S-35-A,51,南,13537,14620,15162,16921
A2502,A,25F,一房豪华式公寓,S-60-A,88,东 南,23400,25272,26208,29250
A2503,A,25F,行政单间,S-35-A,51,东,12871,13901,14415,16089
A2505,A,25F,行政单间,S-35-A,51,东,12871,13901,14415,16089
A2506,A,25F,行政单间,S-35-A,51,东,12871,13901,14415,16089
A2507,A,25F,行政单间,S-35-A,51,东,12871,13901,14415,16089
A2508,A,25F,行政单间,S-35-A,51,东,12871,13901,14415,16089
A2509,A,25F,行政单间,S-35-A,51,东,12871,13901,14415,16089
A2512,A,25F,行政单间,S-37-A,54,西,14913,16106,16702,18641
A2513,A,25F,行政单间,S-35-A,51,西,14863,16052,16647,18579
A2515,A,25F,行政单间,S-35-A,51,西,14913,16106,16703,18641
A2516,A,25F,行政单间,S-35-A,51,西,12871,13901,14415,16089
A2517,A,25F,行政单间,S-35-A,51,西,12871,13901,14415,16089
A2518,A,25F,行政单间,S-35-A,51,西,12871,13901,14415,16089
A2519,A,25F,两房行政公寓,S-74,108,西 南,30518,32960,34180,38148
A2520,A,25F,一房豪华式公寓,S-50,73,南,21200,22896,23744,26500
A301,A,3F,行政单间,S-39-A,57,南,13922,15035,15592,17402
A302,A,3F,行政单间,S-39-A,57,南,15655,16908,17534,19569
A303,A,3F,行政单间,S-39-A,57,南,13922,15035,15592,17402
A305,A,3F,行政单间,S-47,69,东,13922,15035,15592,17402
A306,A,3F,行政单间,S-39-A,57,东,13922,15035,15592,17402
A307,A,3F,行政单间,S-39-A,57,东,13922,15035,15592,17402
A308,A,3F,行政单间,S-39-A,57,东,13922,15035,15592,17402
A309,A,3F,行政单间,S-39-A,57,东,13922,15035,15592,17402
A310,A,3F,行政单间,S-39-A,57,东,13922,15035,15592,17402
A311,A,3F,行政单间,S-39-A,57,东,15655,16908,17534,19569
A312,A,3F,行政单间,S-39-A,57,东,15655,16908,17534,19569
A313,A,3F,行政单间,S-39-A,57,东,13922,15035,15592,17402
A315,A,3F,行政单间,S-39-A,57,东,13922,15035,15592,17402
A316,A,3F,行政单间,S-39-A,57,东,13922,15035,15592,17402
A317,A,3F,行政单间,S-39-A,57,东,13922,15035,15592,17402
A318,A,3F,行政单间,S-43,63,东,15332,16558,17171,19165
A319,A,3F,行政单间,S-43,63,西,17298,18682,19374,21622
A320,A,3F,行政单间,S-39-A,57,西,14788,15972,16563,18486
A321,A,3F,行政单间,S-39-A,57,西,14550,15714,16296,18188
A322,A,3F,行政单间,S-39-A,57,西,14550,15714,16296,18188
A323,A,3F,行政单间,S-39-A,57,西,14550,15714,16296,18188
A325,A,3F,行政单间,S-39-A,57,西,14550,15714,16296,18188
A326,A,3F,行政单间,S-39-A,57,西,14550,15714,16296,18188
A327,A,3F,行政单间,S-39-A,57,西,14550,15714,16296,18188
A328,A,3F,行政单间,S-39-A,57,西,14550,15714,16296,18188
A329,A,3F,行政单间,S-39-A,57,西,14550,15714,16296,18188
A330,A,3F,行政单间,S-39-A,80,西,14550,15714,16296,18188
A331,A,3F,行政单间,S-39-A,57,西,14550,15714,16296,18188
A332,A,3F,行政单间,S-39-A,57,西,14550,15714,16296,18188
A333,A,3F,行政单间,S-39-A,57,西,14550,15714,16296,18188
A335,A,3F,两房行政公寓,S-55,80,西 南,19719,21297,22085,24649
A336,A,3F,行政单间,S-39-A,57,南,14550,15714,16296,18188
A337,A,3F,行政单间,S-39-A,57,南,14550,15714,16296,18188
A501,A,5F,行政单间,S-39-A,57,南,13972,15089,15648,17464
A502,A,5F,行政单间,S-39-A,57,南,15705,16962,17590,19632
A503,A,5F,行政单间,S-39-A,57,南,13972,15089,15648,17464
A505,A,5F,行政单间,S-47,69,东,13972,15089,15648,17464
A506,A,5F,行政单间,S-39-A,57,东,13972,15089,15648,17464
A507,A,5F,行政单间,S-39-A,57,东,13972,15089,15648,17464
A508,A,5F,行政单间,S-39-A,57,东,13972,15089,15648,17464
A509,A,5F,行政单间,S-39-A,57,东,13972,15089,15648,17464
A510,A,5F,行政单间,S-39-A,57,东,13972,15089,15648,17464
A511,A,5F,行政单间,S-39-A,57,东,15705,16962,17590,19632
A512,A,5F,行政单间,S-39-A,57,东,15705,16962,17590,19632
A513,A,5F,行政单间,S-39-A,57,东,13972,15089,15648,17464
A515,A,5F,行政单间,S-39-A,57,东,13972,15089,15648,17464
A516,A,5F,行政单间,S-39-A,57,东,13972,15089,15648,17464
A517,A,5F,行政单间,S-39-A,57,东,13972,15089,15648,17464
A518,A,5F,行政单间,S-43,63,东,15382,16612,17227,19227
A519,A,5F,行政单间,S-43,63,西,17348,18736,19430,21685
A520,A,5F,行政单间,S-39-A,57,西,14838,16026,16619,18548
A521,A,5F,行政单间,S-39-A,57,西,14600,15768,16352,18250
A522,A,5F,行政单间,S-39-A,57,西,14600,15768,16352,18250
A523,A,5F,行政单间,S-39-A,57,西,14600,15768,16352,18250
A525,A,5F,行政单间,S-39-A,57,西,14600,15768,16352,18250
A526,A,5F,行政单间,S-39-A,57,西,14600,15768,16352,18250
A527,A,5F,行政单间,S-39-A,57,西,14600,15768,16352,18250
A528,A,5F,行政单间,S-39-A,57,西,14600,15768,16352,18250
A529,A,5F,行政单间,S-39-A,57,西,14600,15768,16352,18250
A530,A,5F,行政单间,S-39-A,57,西,14600,15768,16352,18250
A531,A,5F,行政单间,S-39-A,57,西,14600,15768,16352,18250
A532,A,5F,行政单间,S-39-A,57,西,14600,15768,16352,18250
A533,A,5F,两房行政公寓,S-39-A,57,西,14600,15768,16352,18250
A535,A,5F,行政单间,S-55,80,西 南,19769,21351,22141,24711
A536,A,5F,行政单间,S-39-A,57,南,14600,15768,16352,18250
A537,A,5F,行政单间,S-39-A,57,南,14600,15768,16352,18250
A601,A,6F,行政单间,S-39-A,57,南,14022,15143,15704,17527
A602,A,6F,行政单间,S-39-A,57,南,15755,17016,17646,19694
A603,A,6F,行政单间,S-39-A,57,南,14022,15143,15704,17527
A605,A,6F,行政单间,S-47,69,东,14022,15143,15704,17527
A606,A,6F,行政单间,S-39-A,57,东,14022,15143,15704,17527
A607,A,6F,行政单间,S-39-A,57,东,14022,15143,15704,17527
A608,A,6F,行政单间,S-39-A,57,东,14022,15143,15704,17527
A609,A,6F,行政单间,S-39-A,57,东,14022,15143,15704,17527
A610,A,6F,行政单间,S-39-A,57,东,14022,15143,15704,17527
A611,A,6F,行政单间,S-39-A,57,东,15755,17016,17646,19694
A612,A,6F,行政单间,S-39-A,57,东,15755,17016,17646,19694
A613,A,6F,行政单间,S-39-A,57,东,14022,15143,15704,17527
A615,A,6F,行政单间,S-39-A,63,东,14022,15143,15704,17527
A616,A,6F,行政单间,S-39-A,51,东,14022,15143,15704,17527
A617,A,6F,行政单间,S-39-A,57,东,14022,15143,15704,17527
A618,A,6F,行政单间,S-43,63,东,15432,16666,17283,19290
A620,A,6F,行政单间,S-39-A,57,西,14888,16080,16675,18611
A621,A,6F,行政单间,S-39-A,57,西,14650,15822,16408,18312
A622,A,6F,行政单间,S-39-A,57,西,14650,15822,16408,18312
A623,A,6F,行政单间,S-39-A,57,西,14650,15822,16408,18312
A625,A,6F,行政单间,S-39-A,57,西,14650,15822,16408,18312
A626,A,6F,行政单间,S-39-A,57,西,14650,15822,16408,18312
A627,A,6F,行政单间,S-39-A,57,西,14650,15822,16408,18312
A628,A,6F,行政单间,S-39-A,57,西,14650,15822,16408,18312
A629,A,6F,行政单间,S-39-A,57,西,14650,15822,16408,18312
A630,A,6F,行政单间,S-39-A,57,西,14650,15822,16408,18312
A631,A,6F,行政单间,S-39-A,57,西,14650,15822,16408,18312
A632,A,6F,行政单间,S-39-A,57,西,14650,15822,16408,18312
A633,A,6F,行政单间,S-39-A,57,西,14650,15822,16408,18312
A635,A,6F,两房行政公寓,S-55,80,西 南,19819,21405,22197,24774
A636,A,6F,行政单间,S-39-A,57,南,14650,15822,16408,18312
A637,A,6F,行政单间,S-39-A,57,南,14650,15822,16408,18312
A801,A,8F,行政单间,S-35-A,51,南,12837,13864,14378,16046
A802,A,8F,一房豪华式公寓,S-60-A,88,东 南,22000,23760,24640,27500
A803,A,8F,行政单间,S-35-A,51,东,12171,13145,13631,15214
A805,A,8F,行政单间,S-35-A,51,东,12171,13145,13631,15214
A806,A,8F,行政单间,S-35-A,51,东,12171,13145,13631,15214
A807,A,8F,行政单间,S-35-A,51,东,12171,13145,13631,15214
